mosaic_id;ra_dates;dec_dates;date;flux_dates
P154+40;154.331;39.573;2018-10-14 20:30:59;1.088
P154+50;154.894;49.615;2018-09-18 20:01:44;0.992
P155+04;155.683;4.44;2020-09-08 01:05:53;0.945
P155+19;155.49;19.5;2019-08-31 17:41:38;1.042
P155+27;155.132;27.028;2021-04-09 13:39:04;0.904
P155+32;155.126;32.048;2018-10-24 01:47:13;1.153
P155+52;155.672;52.128;2019-03-22 07:31:14;0.891
P155+55;155.679;54.637;2018-08-31 20:16:07;0.983
P155+57;155.53;57.146;2018-08-22 14:06:48;0.908
P155+60;155.955;59.657;2018-09-01 02:12:08;0.909
P156+30;156.616;29.546;2020-01-22 11:51:59;1.045
P156+42;156.854;42.096;2018-09-13 00:34:51;1.035
P156+45;156.24;44.603;2018-10-27 08:55:47;1.171
P156+47;156.623;47.114;2018-10-27 02:34:56;1.195
P156+65;156.427;64.676;2019-10-09 12:59:30;0.967
P157+35;157.418;34.57;2019-12-06 20:07:02;1.063
P157+40;157.69;39.591;2019-10-09 04:04:02;1.126
P157+62;157.873;62.176;2018-08-23 06:51:48;1.027
P158+14;158.101;14.494;2019-06-05 17:04:23;0.966
P158+32;158.181;32.064;2020-01-25 05:58:25;1.158
P158+37;158.087;37.084;2019-11-18 18:35:54;1.108
P158+50;158.891;49.636;2018-08-31 12:17:52;1.061
P158+67;158.066;67.193;2019-10-10 08:26:36;0.932
P159+30;159.594;29.562;2020-02-04 22:13:16;1.005
P159+45;159.876;44.622;2019-04-20 18:00:29;1.059
P159+52;159.89;52.151;2019-01-15 21:30:00;1.071
P15Hetdex13;176.801;47.493;2018-08-15 15:36:33;0.873
P160+15;160.777;14.508;2021-02-02 03:33:21;1.045
P160+35;160.565;34.587;2019-12-05 09:03:50;1.13
P160+42;160.34;42.115;2019-04-03 17:15:21;1.097
P160+47;160.428;47.135;2019-04-20 20:46:48;0.944
P160+55;160.155;54.661;2018-08-31 11:45:11;1.088
P160+57;160.305;57.171;2018-08-30 18:34:11;1.03
P161+32;161.236;32.081;2020-02-13 04:31:18;1.127
P161+37;161.332;37.101;2019-03-12 09:21:58;1.216
P161+40;161.053;39.609;2019-10-08 20:46:52;1.076
P161+60;161.084;59.684;2018-08-29 17:25:12;0.915
P162+30;162.568;29.578;2020-02-05 05:05:14;1.053
P162+65;162.487;64.709;2019-11-16 05:10:17;1.112
P163+35;163.708;34.604;2019-11-29 08:01:04;1.15
P163+42;163.831;42.133;2019-02-08 20:10:53;0.992
P163+45;163.515;44.642;2018-08-28 16:19:13;1.132
P163+62;163.426;62.205;2019-10-26 09:04:52;1.03
P163+80;163.617;79.745;2018-11-01 00:26:50;1.274
P164+32;164.291;32.097;2020-03-04 14:00:37;0.917
